X,Y,gid,Name,description,altitudeMode,tessellate,KOORDINATE,BEZNAME,QUELLEURL,PGRNAME,BZR,QUELLE,LIZENZ,PGR,GEBIETSTAN,ERSTELLDAT,EMAIL,BEZ,BZRNAME,FID,PLRNAME,FLAECHE_HA,Field_1,IBR,PLR
13.3573947035999,52.5030137843743,3,Lützowstraße,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Zentrum,010111,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0101,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Tiergarten Süd,2,Lützowstraße,"52,0727",Lützowstraße,12,01011103
13.364792444334,52.5072359104419,5,Nördlicher Landwehrkanal,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Zentrum,010111,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0101,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Tiergarten Süd,4,Nördlicher Landwehrkanal,"93,1565",Nördlicher Landwehrkanal,12,01011105
13.1991813176827,52.5450840158214,177,Ackerstraße,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Spandau,www.Statistik-Berlin-Brandenburg,SPA 1,050103,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0501,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,05,Spandau Mitte,176,Ackerstraße,"49,6968",Ackerstraße,24,05010313
13.3906235119964,52.5151897659688,8,Unter den Linden Süd,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Zentrum,010112,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0101,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Regierungsviertel,7,Unter den Linden Süd,"54,8892",Unter den Linden Süd,11,01011203
13.3992218106593,52.5123129621851,9,Leipziger Straße,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Zentrum,010112,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0101,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Regierungsviertel,8,Leipziger Straße,"76,0494",Leipziger Straße,11,01011204
13.3897538155571,52.5525456912742,32,Gesundbrunnen,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Gesundbrunnen,010331,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0103,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Osloer Straße,31,Gesundbrunnen,"65,5611",Gesundbrunnen,23,01033102
13.3973603913683,52.5257682477072,11,Oranienburger Straße,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Zentrum,010113,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0101,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Alexanderplatz,10,Oranienburger Straße,"101,022",Oranienburger Straße,11,01011302
13.4106165737879,52.5097157563978,14,Heine-Viertel West,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Zentrum,010113,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0101,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Alexanderplatz,13,Heine-Viertel West,"63,9874",Heine-Viertel West,12,01011305
13.3932685284832,52.5336931595619,16,Invalidenstraße,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Zentrum,010114,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0101,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Brunnenstraße Süd,15,Invalidenstraße,"114,8661",Invalidenstraße,12,01011401
13.4023738166668,52.5353687125177,17,Arkonaplatz,,clampToGround,1,WGS 1984 Web Mercator (Auxiliary Sphere),Mitte,www.Statistik-Berlin-Brandenburg,Zentrum,010114,Amt für Statistik Berlin-Brandenburg,CC-BY 3.0 Namensnennung,0101,31.07.2012,16.10.2012,RBS@Statistik-BBB.de,01,Brunnenstraße Süd,16,Arkonaplatz,"59,9134",Arkonaplatz,12,01011402
