,PLR,PLZ
0,1011101,"['10785', '10787']"
1,1011102,"['10117', '10557', '10623', '10785', '10787']"
2,1011103,"['10783', '10785', '10787']"
3,1011104,"['10783', '10785']"
4,1011105,"['10117', '10785', '10963']"
5,1011201,"['10117', '10785', '10963', '10969']"
6,1011202,"['10117', '10178', '10557', '10785']"
7,1011203,"['10117', '10178']"
8,1011204,"['10117', '10178', '10179', '10969']"
9,1011301,"['10115', '10117', '10557', '13353']"
10,1011302,"['10115', '10117', '10119', '10178', '10179']"
11,1011303,"['10119', '10178', '10179', '10249', '10405']"
12,1011304,"['10178', '10179', '10243', '10249']"
13,1011305,"['10117', '10178', '10179', '10969']"
14,1011306,"['10179', '10243', '10969', '10997', '10999']"
15,1011401,"['10115', '10119', '13347', '13355']"
16,1011402,"['10115', '10119', '10435']"
17,1022101,"['10553', '10555', '10587', '10589']"
18,1022102,"['10551', '10553', '10555']"
19,1022103,"['10551', '10553', '10559', '10589', '13351', '13353', '13627']"
20,1022104,"['10551', '10553', '10555', '10559']"
21,1022105,"['10551', '10553', '10555']"
22,1022106,"['10551', '10553', '10555', '10559', '10587']"
23,1022201,"['10551', '10557', '10559']"
24,1022202,"['10115', '10557', '10559', '13353']"
25,1022203,"['10551', '10559']"
26,1022204,"['10555', '10557', '10559']"
27,1022205,"['10557', '10559']"
28,1022206,"['10117', '10557', '10559']"
29,1022207,"['10555', '10557', '10587', '10623', '10787']"
30,1033101,"['10439', '13187', '13359', '13409']"
31,1033102,"['10439', '13357', '13359']"
32,1033201,"['10115', '10435', '10437', '13355', '13357']"
33,1033202,"['10115', '13355', '13357']"
34,1033203,"['10115', '10557', '13347', '13353', '13355', '13357']"
35,1044101,"['13347', '13349', '13351', '13353', '13405', '13627']"
36,1044102,"['13347', '13349', '13359', '13405', '13407', '13409']"
37,1044103,"['13347', '13353']"
38,1044201,"['13347', '13353', '13357', '13359']"
39,1044202,"['13347', '13353']"
40,1044203,"['13347', '13349', '13353', '13359']"
41,2010101,"['10963', '10969']"
42,2010102,"['10963', '10969']"
43,2010103,"['10969', '10999']"
44,2010104,"['10969', '10999']"
45,2020201,"['10783', '10785', '10963', '10965']"
46,2020202,"['10961', '10963', '10965']"
47,2020203,"['10961', '10963', '10965', '12101']"
48,2020204,"['10961', '10963', '10967', '10969']"
49,2020205,"['10961', '10965']"
50,2020206,"['10961', '10965', '10967', '10969', '10999', '12047', '12049']"
51,2030301,"['10179', '10969', '10997', '10999']"
52,2030302,"['10243', '10245', '10997', '10999']"
53,2030401,"['10967', '10997', '10999', '12045', '12047', '12059', '12435']"
54,2030402,"['10245', '10997', '12435']"
55,2040501,"['10178', '10243', '10249', '10407']"
56,2040502,"['10178', '10243', '10249']"
57,2040503,"['10243', '10247', '10249', '10407']"
58,2040701,"['10179', '10243']"
59,2040702,"['10243', '10245']"
60,2040703,"['10179', '10243', '10245', '10997']"
61,2050601,"['10247', '10249']"
62,2050602,"['10243', '10247', '10249', '10365', '10367']"
63,2050801,"['10243', '10245', '10247', '10317', '10365']"
64,2050802,"['10243', '10245']"
65,2050803,"['10245', '10317', '10997', '12435']"
66,2050804,"['10245', '10317', '12435']"
67,3010101,"['13125', '13127']"
68,3010102,['13125']
69,3010104,"['13125', '13127', '13129', '13159']"
70,3020203,"['13127', '13158', '13159', '13469']"
71,3020209,"['13156', '13158', '13187']"
72,3020210,"['13127', '13156', '13158', '13159']"
73,3020307,"['13127', '13129', '13158', '13159']"
74,3030405,['13125']
75,3030406,"['13051', '13125', '13129']"
76,3030711,"['13051', '13088', '13089', '13125', '13127', '13129', '13189']"
77,3030715,"['13086', '13088', '13089', '13129', '13189']"
78,3030716,"['13051', '13086', '13088', '13089', '13125', '13129']"
79,3040508,"['13158', '13159', '13439']"
80,3040512,"['13156', '13158', '13407', '13437']"
81,3040513,"['13156', '13158', '13187', '13359', '13407', '13409']"
82,3040614,"['10439', '13127', '13129', '13156', '13187', '13189', '13359']"
83,3040818,"['10409', '10439', '13086', '13089', '13127', '13187', '13189']"
84,3050919,"['13086', '13088', '13089']"
85,3050920,"['13086', '13088']"
86,3050923,"['10409', '13086', '13189']"
87,3050924,"['10409', '13086', '13088']"
88,3050925,"['10369', '10407', '10409', '13053', '13088']"
89,3051017,"['13051', '13053', '13086', '13088']"
90,3051021,['13088']
91,3051022,"['13053', '13088']"
92,3061126,"['10437', '10439', '13187', '13189', '13357', '13359']"
93,3061131,"['10435', '10437', '10439', '13355', '13357']"
94,3061227,"['10405', '10409', '10437', '10439']"
95,3061228,"['10405', '10409', '10439', '13086']"
96,3061332,"['10405', '10435', '10437', '10439']"
97,3061429,"['10405', '10407', '10409', '13088']"
98,3061430,"['10369', '10407']"
99,3061434,"['10405', '10407', '10409']"
100,3061435,"['10249', '10369', '10407']"
101,3061441,"['10247', '10249', '10407']"
102,3071536,"['10119', '10405', '10435', '10437']"
103,3071537,"['10119', '10178', '10405', '10435']"
104,3071633,"['10405', '10437']"
105,3071638,"['10178', '10249', '10405', '10407']"
106,3071639,"['10249', '10405', '10407']"
107,4010101,"['10589', '13627', '13629', '14059']"
108,4010102,"['10553', '13351', '13353', '13627', '13629']"
109,4010103,"['10553', '13627']"
110,4020204,"['13597', '14052', '14053', '14055']"
111,4020205,"['13597', '14052', '14053']"
112,4020206,"['13595', '14055']"
113,4020207,"['14052', '14053', '14055']"
114,4020208,"['13595', '14052', '14055', '14193']"
115,4020209,"['14052', '14055']"
116,4020310,"['13597', '13627', '13629', '14050', '14052', '14059']"
117,4020311,"['14050', '14052', '14055', '14057']"
118,4020312,"['14050', '14052']"
119,4020313,"['14050', '14055', '14057', '14059']"
120,4020314,"['10711', '14052', '14055', '14057']"
121,4030415,"['10585', '10587', '10589', '13627', '14059']"
122,4030416,['14059']
123,4030417,"['10585', '10587', '10627', '14057', '14059']"
124,4030518,['10589']
125,4030519,"['10553', '10587', '10589', '13627']"
126,4030620,"['10585', '10587', '10625']"
127,4030621,"['10553', '10555', '10587', '10623']"
128,4030622,"['10585', '10587', '10625', '10627']"
129,4030623,"['10585', '10587', '10623', '10625', '10719']"
130,4030724,"['10711', '14055', '14057']"
131,4030725,"['10627', '10711', '14057']"
132,4030726,"['10627', '10629', '10707', '10709', '10711']"
133,4030827,"['10625', '10627', '10629']"
134,4030828,"['10623', '10625', '10629']"
135,4030929,"['10625', '10627', '10629', '10707']"
136,4030930,"['10623', '10629', '10707', '10719']"
137,4030931,"['10623', '10719', '10787', '10789']"
138,4031032,"['10629', '10707', '10709', '10711', '14055', '14193']"
139,4041133,"['10711', '14055', '14193']"
140,4041134,"['10711', '14055', '14193']"
141,4041135,"['14055', '14193', '14195', '14199']"
142,4041136,"['14193', '14199']"
143,4041137,"['10709', '10711', '10713', '14193', '14199']"
144,4041238,['14199']
145,4041239,"['10713', '14197', '14199']"
146,4041240,"['14195', '14199']"
147,4041241,"['14195', '14197', '14199']"
148,4041342,"['14195', '14197', '14199']"
149,4041343,"['14195', '14197', '14199']"
150,4041344,"['10715', '12161', '12163', '14195', '14197']"
151,4051445,"['10707', '10709', '10711', '10713', '14193', '14199']"
152,4051446,"['10707', '10709', '10713', '10719']"
153,4051447,"['10707', '10713', '10717', '10719']"
