,PLZ,PLR
0,10115,"[1011301, 1011302, 1033201, 1033202, 1033203, 1011401, 1011402, 1022202]"
1,10117,"[1011105, 1011201, 1011202, 1011203, 1011204, 1011301, 1011302, 1011305, 1011102, 1022206]"
2,10119,"[1011302, 1011303, 1011401, 1011402, 3071536, 3071537]"
3,10178,"[1011202, 1011203, 1011204, 1011302, 1011303, 1011304, 1011305, 2040501, 2040502, 3071537, 3071638]"
4,10179,"[1011204, 1011302, 1011303, 1011304, 1011305, 1011306, 2030301, 2040701, 2040703]"
5,10243,"[1011304, 1011306, 2040501, 2040502, 2040503, 2030302, 2040701, 2040702, 2040703, 2050602, 2050801, 2050802]"
6,10245,"[2030402, 2030302, 2040702, 2050804, 2040703, 2050803, 2050801, 2050802, 9010102, 11030824, 11040925, 11051229]"
7,10247,"[2040503, 2050601, 2050602, 2050801, 3061441, 11030721, 11030824]"
8,10249,"[1011303, 1011304, 2040501, 2040502, 2040503, 2050601, 2050602, 3061441, 3061435, 3071638, 3071639, 11030618, 11030721]"
9,10315,"[10010308, 11020516, 11030720, 11030721, 11040926, 11041022, 11041023, 11041027, 11041128]"
10,10317,"[2050804, 2050803, 2050801, 9010202, 11030721, 11030824, 11040925, 11040926, 11041022, 11041128, 11051229, 11051330, 11051332]"
11,10318,"[9020501, 9020502, 9052001, 10030727, 11041027, 11041128, 11051229, 11051330, 11051331, 11051332]"
12,10319,"[10030726, 10030727, 11040926, 11041023, 11041027, 11041128, 11051229, 11051330]"
13,10365,"[2050602, 2050801, 11020515, 11020516, 11030619, 11030720, 11030721, 11030824, 11040925, 11041022]"
14,10367,"[2050602, 11020515, 11030618, 11030619, 11030720, 11030721]"
15,10369,"[3050925, 3061430, 3061435, 11020515, 11020513, 11030617, 11030618, 11030619, 11030721]"
16,10405,"[1011303, 3061227, 3061228, 3061332, 3061429, 3071536, 3071537, 3071633, 3061434, 3071638, 3071639]"
17,10407,"[2040501, 2040503, 3050925, 3061429, 3061441, 3061430, 3061434, 3061435, 3071638, 3071639, 11030617, 11030618]"
18,10409,"[3040818, 3050923, 3050924, 3050925, 3061227, 3061228, 3061429, 3061434]"
19,10435,"[1033201, 1011402, 3061131, 3061332, 3071536, 3071537]"
20,10437,"[1033201, 3061126, 3061131, 3061227, 3061332, 3071536, 3071633]"
21,10439,"[1033101, 1033102, 3040614, 3040818, 3061126, 3061131, 3061227, 3061228, 3061332]"
22,10551,"[1022203, 1022102, 1022103, 1022104, 1022105, 1022106, 1022201]"
23,10553,"[1022101, 1022102, 1022103, 1022104, 1022105, 1022106, 4010102, 4010103, 4030519, 4030621]"
24,10555,"[1022204, 1022207, 1022101, 1022102, 1022104, 1022105, 1022106, 4030621]"
25,10557,"[1011202, 1011301, 1011102, 1022204, 1022205, 1022206, 1022207, 1033203, 1022201, 1022202]"
26,10559,"[1022203, 1022204, 1022205, 1022206, 1022103, 1022104, 1022106, 1022201, 1022202]"
27,10585,"[4030415, 4030417, 4030620, 4030622, 4030623]"
28,10587,"[1022207, 1022101, 1022106, 4030415, 4030417, 4030519, 4030620, 4030621, 4030622, 4030623]"
29,10589,"[1022101, 1022103, 4010101, 4030415, 4030518, 4030519]"
30,10623,"[1011102, 1022207, 4030828, 4030930, 4030931, 4030621, 4030623]"
31,10625,"[4030827, 4030828, 4030929, 4030620, 4030622, 4030623]"
32,10627,"[4030417, 4030725, 4030726, 4030827, 4030929, 4030622]"
33,10629,"[4030726, 4030827, 4030828, 4030929, 4030930, 4031032]"
34,10707,"[4030726, 4030929, 4030930, 4031032, 4051445, 4051446, 4051447, 4051549, 4051550]"
35,10709,"[4030726, 4031032, 4041137, 4051445, 4051446]"
36,10711,"[4020314, 4030725, 4030726, 4031032, 4041134, 4041137, 4041133, 4051445, 4030724]"
37,10713,"[4041137, 4041239, 4051445, 4051446, 4051447, 4051551, 4051654, 4051549, 4051550, 4051656]"
38,10715,"[4041344, 4051551, 4051652, 4051653, 4051654, 4051549, 4051550, 4051655, 4051656, 7020202, 7030301]"
