Schlüssel;Bezirk;Planungsraum;Bezirksregion;Prognoseraum;Flächengröße in m²
01011105;Mitte;Nördlicher Landwehrkanal;Tiergarten Süd;Zentrum;934609.72
01011201;Mitte;Wilhelmstraße;Regierungsviertel;Zentrum;634326.8
01011202;Mitte;Unter den Linden Nord;Regierungsviertel;Zentrum;744742.1
01011203;Mitte;Unter den Linden Süd;Regierungsviertel;Zentrum;548158.88
01011204;Mitte;Leipziger Straße;Regierungsviertel;Zentrum;763845.47
01011301;Mitte;Charitéviertel;Alexanderplatz;Zentrum;1685341.13
01011302;Mitte;Oranienburger Straße;Alexanderplatz;Zentrum;1012783.83
01011303;Mitte;Alexanderplatzviertel;Alexanderplatz;Zentrum;1361534.2
01011304;Mitte;Karl-Marx-Allee;Alexanderplatz;Zentrum;807481.05
01011305;Mitte;Heine-Viertel West;Alexanderplatz;Zentrum;643994.92
01011306;Mitte;Heine-Viertel Ost;Alexanderplatz;Zentrum;717643.38
01011101;Mitte;Stülerstraße;Tiergarten Süd;Zentrum;366755.5
01011102;Mitte;Großer Tiergarten;Tiergarten Süd;Zentrum;3009397.45
01011103;Mitte;Lützowstraße;Tiergarten Süd;Zentrum;522356.58
01011104;Mitte;Körnerstraße;Tiergarten Süd;Zentrum;338383.45
01022203;Mitte;Lübecker Straße;Moabit Ost;Moabit;325177.68
01022204;Mitte;Thomasiusstraße;Moabit Ost;Moabit;553759.64
01022205;Mitte;Zillesiedlung;Moabit Ost;Moabit;174384.85
01022206;Mitte;Lüneburger Straße;Moabit Ost;Moabit;742477
01022207;Mitte;Hansaviertel;Moabit Ost;Moabit;534436.21
01033101;Mitte;Soldiner Straße;Osloer Straße;Gesundbrunnen;1707059.31
01033102;Mitte;Gesundbrunnen;Osloer Straße;Gesundbrunnen;657648.27
01033201;Mitte;Brunnenstraße;Brunnenstraße Nord;Gesundbrunnen;774866.53
01033202;Mitte;Humboldthain Süd;Brunnenstraße Nord;Gesundbrunnen;1104316.35
01033203;Mitte;Humboldthain Nordwest;Brunnenstraße Nord;Gesundbrunnen;1439120.09
01044101;Mitte;Rehberge;Parkviertel;Wedding;4856060.51
01044102;Mitte;Schillerpark;Parkviertel;Wedding;1731879.14
01044103;Mitte;Westliche Müllerstraße;Parkviertel;Wedding;531583.66
01044201;Mitte;Reinickendorfer Straße;Wedding Zentrum;Wedding;1057808.21
01044202;Mitte;Sparrplatz;Wedding Zentrum;Wedding;622290.5
01011401;Mitte;Invalidenstraße;Brunnenstraße Süd;Zentrum;1151740.51
01011402;Mitte;Arkonaplatz;Brunnenstraße Süd;Zentrum;601605.48
01044203;Mitte;Leopoldplatz;Wedding Zentrum;Wedding;811917.31
02010101;Friedrichshain-Kreuzberg;Askanischer Platz;Südliche Friedrichstadt;Kreuzberg Nord;707419.2
01022101;Mitte;Huttenkiez;Moabit West;Moabit;805358.52
01022102;Mitte;Beusselkiez;Moabit West;Moabit;236617.18
01022103;Mitte;Westhafen;Moabit West;Moabit;1704821.49
01022104;Mitte;Emdener Straße;Moabit West;Moabit;776397.46
01022105;Mitte;Zwinglistraße;Moabit West;Moabit;166538.06
01022106;Mitte;Elberfelder Straße;Moabit West;Moabit;639514.49
01022201;Mitte;Stephankiez;Moabit Ost;Moabit;895709.37
01022202;Mitte;Heidestraße;Moabit Ost;Moabit;684377.8
02020201;Friedrichshain-Kreuzberg;Gleisdreieck/Entwicklungsgebiet;Tempelhofer Vorstadt;Kreuzberg Süd;737087.11
02020202;Friedrichshain-Kreuzberg;Rathaus Yorckstraße;Tempelhofer Vorstadt;Kreuzberg Süd;390965.01
02020203;Friedrichshain-Kreuzberg;Viktoriapark;Tempelhofer Vorstadt;Kreuzberg Süd;742969.72
02030402;Friedrichshain-Kreuzberg;Wrangelkiez;Südliche Luisenstadt;Kreuzberg Ost;526529
02040501;Friedrichshain-Kreuzberg;Barnimkiez;Karl-Marx-Allee Nord;Friedrichshain West;940904.43
02040502;Friedrichshain-Kreuzberg;Friedenstraße;Karl-Marx-Allee Nord;Friedrichshain West;674021.78
02040503;Friedrichshain-Kreuzberg;Richard-Sorge-Viertel;Karl-Marx-Allee Nord;Friedrichshain West;554502.35
02010102;Friedrichshain-Kreuzberg;Mehringplatz;Südliche Friedrichstadt;Kreuzberg Nord;1036267.66
02010103;Friedrichshain-Kreuzberg;Moritzplatz;Südliche Friedrichstadt;Kreuzberg Nord;796853.52
02010104;Friedrichshain-Kreuzberg;Wassertorplatz;Südliche Friedrichstadt;Kreuzberg Nord;388873.74
02020204;Friedrichshain-Kreuzberg;Urbanstraße;Tempelhofer Vorstadt;Kreuzberg Süd;922448.94
02020205;Friedrichshain-Kreuzberg;Chamissokiez;Tempelhofer Vorstadt;Kreuzberg Süd;976591.13
02020206;Friedrichshain-Kreuzberg;Graefekiez;Tempelhofer Vorstadt;Kreuzberg Süd;983929.43
02030301;Friedrichshain-Kreuzberg;Oranienplatz;Nördliche Luisenstadt;Kreuzberg Ost;480676.24
02030302;Friedrichshain-Kreuzberg;Lausitzer Platz;Nördliche Luisenstadt;Kreuzberg Ost;821854.35
02030401;Friedrichshain-Kreuzberg;Reichenberger Straße;Südliche Luisenstadt;Kreuzberg Ost;932307.95
02040701;Friedrichshain-Kreuzberg;Andreasviertel;Karl-Marx-Allee Süd;Friedrichshain West;978246.45
02040702;Friedrichshain-Kreuzberg;Weberwiese;Karl-Marx-Allee Süd;Friedrichshain West;541410.67
02050804;Friedrichshain-Kreuzberg;Stralauer Halbinsel;Frankfurter Allee Süd FK;Friedrichshain Ost;1116517.98
03020210;Pankow;Herthaplatz;Blankenfelde/Niederschönhausen;Nördliches Pankow;3080636.19
03030406;Pankow;Alt-Karow;Karow;Nördliches Weißensee;4938647.04
03030711;Pankow;Blankenburg;Blankenburg/Heinersdorf/Märchenland;Nördliches Weißensee;5879839.08
03030715;Pankow;Heinersdorf;Blankenburg/Heinersdorf/Märchenland;Nördliches Weißensee;3906196.59
03030716;Pankow;Märchenland;Blankenburg/Heinersdorf/Märchenland;Nördliches Weißensee;5823857.11
03030405;Pankow;Karow Nord;Karow;Nördliches Weißensee;1667443.16
03040508;Pankow;Rosenthal;Schönholz/Wilhelmsruh/Rosenthal;Südliches Pankow;1797748.98
03040512;Pankow;Wilhelmsruh;Schönholz/Wilhelmsruh/Rosenthal;Südliches Pankow;2168271.31
03040513;Pankow;Schönholz;Schönholz/Wilhelmsruh/Rosenthal;Südliches Pankow;1909168.2
03040614;Pankow;Pankow Zentrum;Pankow Zentrum;Südliches Pankow;3938589.81
03040818;Pankow;Pankow Süd;Pankow Süd;Südliches Pankow;3029694.53
03050919;Pankow;Gustav-Adolf-Straße;Weißensee;Südliches Weißensee;991711.67
03050920;Pankow;Weißer See;Weißensee;Südliches Weißensee;1053976.83
03050923;Pankow;Weißenseer Spitze;Weißensee;Südliches Weißensee;624483.4
03050924;Pankow;Behaimstraße;Weißensee;Südliches Weißensee;438961.31
03050925;Pankow;Komponistenviertel Weißensee;Weißensee;Südliches Weißensee;1119408.64
03051017;Pankow;Rennbahnstraße;Weißensee Ost;Südliches Weißensee;2442521.9
03051021;Pankow;Buschallee;Weißensee Ost;Südliches Weißensee;574678.33
03051022;Pankow;Hansastraße;Weißensee Ost;Südliches Weißensee;690982.75
03061126;Pankow;Arnimplatz;Prenzlauer Berg Nordwest;Nördlicher Prenzlauer Berg;1022264.81
03061131;Pankow;Falkplatz;Prenzlauer Berg Nordwest;Nördlicher Prenzlauer Berg;907550.08
03061227;Pankow;Humannplatz;Prenzlauer Berg Nord;Nördlicher Prenzlauer Berg;693410.07
03061228;Pankow;Erich-Weinert-Straße;Prenzlauer Berg Nord;Nördlicher Prenzlauer Berg;965810.26
03061332;Pankow;Helmholtzplatz;Helmholtzplatz;Nördlicher Prenzlauer Berg;713473.08
03061429;Pankow;Greifswalder Straße;Prenzlauer Berg Ost;Nördlicher Prenzlauer Berg;853513.84
02040703;Friedrichshain-Kreuzberg;Wriezener Bahnhof/Entwicklungsgebiet;Karl-Marx-Allee Süd;Friedrichshain West;888006.83
02050601;Friedrichshain-Kreuzberg;Hausburgviertel;Frankfurter Allee Nord;Friedrichshain Ost;309333.86
02050602;Friedrichshain-Kreuzberg;Samariterviertel;Frankfurter Allee Nord;Friedrichshain Ost;969832.32
02050803;Friedrichshain-Kreuzberg;Stralauer Kiez;Frankfurter Allee Süd FK;Friedrichshain Ost;1354726.79
03010101;Pankow;Bucher Forst;Buch;Buch;13127309.23
03010102;Pankow;Buch;Buch;Buch;4363553.03
