technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:001042cc;24;Reinickendorf;Frohnau;Grünanlage;Poloplatz;-;-;-;33447;gewidmet;12231102;Frohnau;1
00008100:00104113;1012;Reinickendorf;Wittenau;Grünanlage;Spießweg zur Dorfaue, Durchg. Altenheim;-;-;-;2031;gewidmet;12301204;Wittenau-Nord;1
00008100:0010445a;467;Reinickendorf;Reinickendorf;Grünanlage;Lienemannstr., Parkplatz u. Anlage;-;-;-;876;gewidmet;12214423;Mellerbogen;0
00008100:001041f1;840;Reinickendorf;Tegel;Grünanlage;Waidmannsluster Damm,;Am Schwedenhaus;-;-;1542;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:0010460c;1225;Reinickendorf;Tegel;Grünanlage;Grünanlage, zw. Kol. Am Wanderweg u. JVA;-;-;-;10229;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:0010452f;35095;Reinickendorf;Tegel;Grünanlage;Mäckeritzwiesen, Vor den Toren IV;Grünanlage;-;-;42149;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:001043da;1444;Reinickendorf;Heiligensee;Grünanlage;Alt-Heiligensee 111, Aussichtsplattform;-;-;-;1448;gewidmet;12224230;Heiligensee;0
00008100:001045e1;1364;Reinickendorf;Konradshöhe/Tegelort;Grünanlage;Gerlindeweg/Friederikestr.;-;-;-;1404;gewidmet;12214528;Tegeler Forst;0
00008100:001042be;61;Reinickendorf;Frohnau;Grünanlage;Zeltinger Platz;-;-;-;7921;gewidmet;12231102;Frohnau;1
00008100:001041ef;920;Reinickendorf;Märkisches Viertel;Grünanlage;Seggeluchbecken;Grünzug Seggeluchbecken-Senftenberger Ri;-;-;61638;gewidmet;12302108;Märkisches Zentrum;1
00008100:001042cd;16;Reinickendorf;Reinickendorf;Grünanlage;Rosengarten;-;-;-;7680.6;gewidmet;12214423;Mellerbogen;1
00008100:00104434;744;Reinickendorf;Tegel;Grünanlage;Nordgraben, Bollestr.-Gorkistr.;-;-;-;13545.3;gewidmet;12301204;Wittenau-Nord;1
00008100:00104486;602;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Wiesengraben;-;-;-;17170;gewidmet;12224230;Heiligensee;1
00008100:00104609;1228;Reinickendorf;Tegel;Grünanlage;Insel Reiswerder m. Schwemmeland;-;-;-;35061;gewidmet;12214528;Tegeler Forst;0
00008100:00104619;1210;Reinickendorf;Borsigwalde;Grünanlage;Borsigwalder Weg,Mirau-Am Nordgr,Wanderw;-;-;-;8253;gewidmet;12301204;Wittenau-Nord;1
00008100:001042d5;31;Reinickendorf;Frohnau;Grünanlage;Enkircher Str./Rüdesheimer Str.;-;-;-;651.9;gewidmet;12231102;Frohnau;0
00008100:001042bb;37;Reinickendorf;Frohnau;Grünanlage;"Im Fischgrund, ""Rosenanger""";Rosenanger;-;-;17002;gewidmet;12231102;Frohnau;1
00008100:001042c3;34;Reinickendorf;Frohnau;Grünanlage;Fürstendamm/Dinkelsbühler Steig, R.A.B.;-;-;-;2034;gewidmet;12231102;Frohnau;0
00008100:001042cf;54;Reinickendorf;Frohnau;Grünanlage;Nibelungenstr./Im Amseltal, R.A.B.;Amselteich;-;-;2851;gewidmet;12231102;Frohnau;0
00008100:001044f2;35561;Reinickendorf;Lübars;Grünanlage;Deilinge Weg, Erholungsfläche;ehem. Kleingartenfläche;-;-;10876;gewidmet;12301206;Lübars;1
00008100:001042d0;51;Reinickendorf;Frohnau;Grünanlage;Neubrücker Str. 7, R.A.B.;Neubrückerteich;-;-;1417;gewidmet;12231102;Frohnau;0
00008100:001044be;1069;Reinickendorf;Hermsdorf;Grünanlage;Alt-Hermsdorf, Dorfaue;-;-;-;6556;gewidmet;12231101;Hermsdorf;1
00008100:00104426;619;Reinickendorf;Reinickendorf;Grünanlage;Simmelstr., Durchg. Pankower Allee;-;-;-;1488;gewidmet;12103117;Letteplatz;0
00008100:001044ab;1101;Reinickendorf;Hermsdorf;Grünanlage;Silvester-/Waldseeweg;ehem. Spielplatz;-;-;918.8;gewidmet;12231101;Hermsdorf;0
00008100:001042b9;41;Reinickendorf;Frohnau;Grünanlage;Konzer Platz;-;-;-;3952;gewidmet;12231102;Frohnau;0
00008100:001042d1;46;Reinickendorf;Frohnau;Grünanlage;Ludwig-Lesser-Park;-;-;-;60180;gewidmet;12231102;Frohnau;1
00008100:001042b4;26;Reinickendorf;Frohnau;Grünanlage;Artuswall/Olwenstr., R.A.B.;Artuspfuhl;-;-;2571;gewidmet;12231102;Frohnau;0
00008100:0010439c;1501;Reinickendorf;Lübars;Grünanlage;Wanderwege Bruchstücken-,Rabehorstgraben;-;-;-;3941.2;gewidmet;12301206;Lübars;0
00008100:001041f8;797;Reinickendorf;Wittenau;Grünanlage;Cyclopstr., Grünanlage;Hermsdorfer Str.-Göschenstr.;-;-;4943;gewidmet;12301204;Wittenau-Nord;0
00008100:001041ec;904;Reinickendorf;Märkisches Viertel;Grünanlage;Schorfheidestr./Dannenwalder Weg;-;-;-;4320;gewidmet;12103218;Teichstraße;0
00008100:0010448d;616;Reinickendorf;Reinickendorf;Grünanlage;Alt-Reinickendorf, Durchgang Lindauer A.;-;-;-;7171;gewidmet;12103218;Teichstraße;1
00008100:001043fb;1376;Reinickendorf;Reinickendorf;Grünanlage;Humboldtstr./Brusebergstr.;-;-;-;4064;gewidmet;12103218;Teichstraße;1
00008100:001044bd;1074;Reinickendorf;Hermsdorf;Grünanlage;Heidenheimerstr., Wanderweg a. Wald;-;-;-;3255;gewidmet;12231101;Hermsdorf;0
00008100:00104217;841;Reinickendorf;Waidmannslust;Grünanlage;Waidmannsluster Damm/Dianastr.;ehem. Antony-Platz;-;-;1804;gewidmet;12301205;Waidmannslust;0
00008100:001041ed;897;Reinickendorf;Märkisches Viertel;Grünanlage;Am Packereigraben; Wittenauer Str./Welzower Steig;-;-;4512;gewidmet;12301206;Lübars;1
00008100:0010420f;839;Reinickendorf;Wittenau;Grünanlage;Rosentreterprom., Wanderweg Hermsd.Str.;-;-;-;4510;gewidmet;12301204;Wittenau-Nord;1
00008100:00104611;1213;Reinickendorf;Tegel;Grünanlage;Bernauerstr./Seidelstr., Lichtenbergpl.;-;-;-;3900;gewidmet;12214125;Waldidyll/Flughafensee;0
00008100:001041f2;791;Reinickendorf;Waidmannslust;Grünanlage;Steinbergpark;-;-;-;311027;gewidmet;12301204;Wittenau-Nord;1
00008100:001045df;1367;Reinickendorf;Reinickendorf;Grünanlage;Waldstr., Grünzug;-;-;-;12940.1;gewidmet;12214421;Reinickes Hof;1
00008100:001044a1;597;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Eschengraben;-;-;-;33618;gewidmet;12224230;Heiligensee;1
00008100:00104503;35361;Reinickendorf;Heiligensee;Grünanlage;Sandhauser Str., hinter Friedhof;entwidmete Friedhofsfläche;-;-;20650;gewidmet;12224230;Heiligensee;1
00008100:00104613;1211;Reinickendorf;Tegel;Grünanlage;Breitachzeile;-;-;-;667;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:00104512;35145;Reinickendorf;Tegel;Grünanlage;Friedhof Am Fließtal, Erweiterungsfläche;Ausgliederung Friedhof;-;-;23316;gewidmet;12304314;Ziekowstraße/Freie Scholle;1
00008100:00104427;633;Reinickendorf;Reinickendorf;Grünanlage;Provinzstr. - Koloniestr.;inkl. Bahnhofplatz;-;-;2197;gewidmet;12103116;Hausotterplatz;0
00008100:001044bb;1063;Reinickendorf;Hermsdorf;Grünanlage;Waldseepark;-;-;-;32487;gewidmet;12231101;Hermsdorf;1
00008100:00104371;1671;Reinickendorf;Lübars;Grünanlage;Zabel-Krüger-Damm 69/71;-;-;-;16543;gewidmet;12301205;Waidmannslust;1
00008100:0010442a;614;Reinickendorf;Reinickendorf;Grünanlage;Breitkopfbecken;-;-;-;14843.4;gewidmet;12103115;Breitkopfbecken;1
00008100:001044bc;1097;Reinickendorf;Waidmannslust;Grünanlage;Albtalweg, NSG;-;-;-;11263;gewidmet;12301205;Waidmannslust;1
00008100:00104621;1179;Reinickendorf;Lübars;Grünanlage;Grünzug MV zum Fließtal;einschl. Klötzebecken;-;-;53862;gewidmet;12301206;Lübars;1
00008100:00104436;627;Reinickendorf;Reinickendorf;Grünanlage;Stargardtstr., Durchgang Mudrackzeile;-;-;-;4430;gewidmet;12103219;Schäfersee;1
00008100:0010453c;35080;Reinickendorf;Reinickendorf;Grünanlage;Saalmannsteig;Grünanlage neben Spielplatz;-;-;2254;gewidmet;12214421;Reinickes Hof;0
00008100:0010460e;1219;Reinickendorf;Tegel;Grünanlage;Sterkrader Str.;-;-;-;4767;gewidmet;12214126;Tegel-Süd;0
00008100:001044f8;35521;Reinickendorf;Reinickendorf;Grünanlage;Kurt-Schumacher-Damm 42;-;-;-;8084;gewidmet;12214125;Waldidyll/Flughafensee;0
00008100:001044eb;35681;Reinickendorf;Waidmannslust;Grünanlage;Gorkistr., Wanderweg an KG Steinberg;-;-;-;20590;gewidmet;12301204;Wittenau-Nord;1
00008100:0010440e;722;Reinickendorf;Tegel;Grünanlage;Freizeitpark Tegel;-;1976;-;50990.3;gewidmet;12214527;Alt-Tegel;1
00008100:00210595;36090;Reinickendorf;Waidmannslust;Grünanlage;Steinbergpark, Rodelbahn;-;-;-;15000;gewidmet;12301204;Wittenau-Nord;1
00008100:001043f6;1392;Reinickendorf;Tegel;Grünanlage;Karolinenstr. 18, Grünanlage;Medical-Park;-;-;12093;gewidmet;12214527;Alt-Tegel;1
00008100:00104485;607;Reinickendorf;Reinickendorf;Grünanlage;Wackerweg, Kolonie;-;-;-;995;gewidmet;12214422;Klixstr.;0
00008100:001044a5;596;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Erlengraben;-;-;-;29786;gewidmet;12224230;Heiligensee;1
00008100:001044a4;594;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Birkengraben;-;-;-;10383;gewidmet;12224230;Heiligensee;1
00008100:001042df;53;Reinickendorf;Frohnau;Grünanlage;Neubrücker Str./Am Eichenhain, R.A.B.;Eichenpfuhl;-;-;3370;gewidmet;12231102;Frohnau;0
00008100:001044c0;36141;Reinickendorf;Tegel;Grünanlage;Friedhof Am Fließtal, Entwidmungsfläche;Ausgliederung Friedhof;-;-;3781;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:00104125;1000;Reinickendorf;Wittenau;Grünanlage;Hermsdorfer Str. 9-11;-;-;-;31248;gewidmet;12301204;Wittenau-Nord;1
00008100:0010435f;35054;Reinickendorf;Tegel;Grünanlage;Borsigdamm;-;-;-;67399;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:00104112;1019;Reinickendorf;Wittenau;Grünanlage;Peter-Witte-Park;Oranienburger Str.-Eichborndamm;-;-;39734;gewidmet;12301203;Wittenau-Süd;1
00008100:00104319;5;Reinickendorf;Reinickendorf;Grünanlage;Berenhorstbecken;-;-;-;2362;gewidmet;12214424;Scharnweberstr.;0
00008100:001044e3;35781;Reinickendorf;Tegel;Grünanlage;Erholungsweg, Sackgasse;-;-;-;200;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:001042da;66;Reinickendorf;Frohnau;Grünanlage;Mehringer Str./Zeltinger Str., R.A.B.;Mehringteich;-;-;2150;gewidmet;12231102;Frohnau;0
00008100:001043ea;1406;Reinickendorf;Frohnau;Grünanlage;Schönfließer Str./Oranienbg. Ch., R.A.B.;-;-;-;10277;gewidmet;12231102;Frohnau;1
00008100:001042b6;33;Reinickendorf;Frohnau;Grünanlage;Fürstendamm zw. Nr. 57-58;-;-;-;1851;gewidmet;12231102;Frohnau;0
00008100:001042e0;57;Reinickendorf;Frohnau;Grünanlage;Remstaler Str./Gutshofstr.;-;-;-;1118;gewidmet;12231102;Frohnau;0
