ID;Revier (Nummer);Stamm-Standortformengruppe;Feinbodenform (Kürzel);Feinbodenform;Bodenform nach Bodenkundlicher Kartieranleitung KA5 (2005) (Kürzel);Bodenform nach Bodenkundlicher Kartieranleitung KA5 (2005);Art der Feinbodenform;natürliche Grund-/ Stauwasserstufe;Feinheiten der Körnung im Oberboden;Feinheiten der Körnung im übrigen Profil;Kalktiefe [m];Mächtigkeit der organischen Auflage [cm];Mächtigkeit des Ah-Horizontes [cm];Flächengröße [ha]
10;003031;OM3;M.M3;Moor, mäßig nährstoffhaltig;KV: Hn;Erdniedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;3,33441193
12;003031;Z2;BäS;Bärenthorener Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;61,36022022
13;003031;Z1;MaSB5;-;-;-;-; ; ; ; ; ; ;1,54219123
8;003031;Z2;BäS;Bärenthorener Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;40,44308077
9;003031;OM3;M.M3;Moor, mäßig nährstoffhaltig;KV: Hn;Erdniedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;2,44998979
1;003031;Z2;BäS;Bärenthorener Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,37913228
2;003031;M2;NeS;Nedlitzer Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">almfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;41,61751485
15;003031;Z2;BäS;Bärenthorener Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,45144713
17;003031;OZ2;M.Z2;Moor, ziemlich arm;HN: Hn;Niedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;1,46103245
6;003031;OM3;M.M3;Moor, mäßig nährstoffhaltig;KV: Hn;Erdniedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;0,92087826
7;003031;OZ2;M.Z2;Moor, ziemlich arm;HN: Hn;Niedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;3,12256627
38;003031;Z2;BäS;Bärenthorener Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;2,19207658
39;003031;NK1;Sok;Sonderstandort - Übersandetes Moor;-;-;-; ; ; ; ; ; ;0,79557548
18;003031;M1;HdSB5;Hennigsdorfer Sand-Braungley;g.rGG-BB: s;Vergleyte reliktische Gley-Braunerde aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">45</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">r+alS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm; ;2,14190532
21;003031;NM2;Sok;Sonderstandort - Übersandetes Moor;-;-;-; ; ; ; ; ; ;0,11754813
22;003031;NM2;Sok;Sonderstandort - Übersandetes Moor;-;-;-; ; ; ; ; ; ;6,66969271
23;003031;M1;LhSUS;Linhorster Sand-Graugley;g.rGG:s;Vergleyter reliktischer Gley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;>20 und humusärmer;1,08325928
24;003031;Z2;MuSB6;Mullberger Sand-Braundgley;rGG-BB: s;Reliktgley-Braunerde aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">45</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">r+alS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm; ;1,28475326
4;003031;Z2;BäS;Bärenthorener Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,30219685
5;003031;Z2;BäS;Bärenthorener Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;3,38561174
26;003031;OK2;M.K2;Moor, kräftig;HN: Hn;Niedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;0,63874979
27;003031;OK2;M.K2;Moor, kräftig;HN: Hn;Niedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;0,06287309
