FID,gml_id,spatial_na,spatial_al,spatial_ty,PLRNAME,BZRNAME,PGRNAME,BEZNAME,DATUM,SHAPE_Length,SHAPE_Area
1,re_planungsraum.01011101,01011101,Stülerstraße,Polygon,Stülerstraße,Tiergarten Süd,Zentrum,Mitte,2006-06-14T00:00:00,5535.90868035598,988823.105449888
2,re_planungsraum.01011102,01011102,Großer Tiergarten,Polygon,Großer Tiergarten,Tiergarten Süd,Zentrum,Mitte,2006-06-14T00:00:00,17021.9745833552,8115685.43270627
3,re_planungsraum.01011103,01011103,Lützowstraße,Polygon,Lützowstraße,Tiergarten Süd,Zentrum,Mitte,2006-06-14T00:00:00,5328.0045045678,1408008.72456432
4,re_planungsraum.01011104,01011104,Körnerstraße,Polygon,Körnerstraße,Tiergarten Süd,Zentrum,Mitte,2006-06-14T00:00:00,3858.82928628945,911950.004203775
5,re_planungsraum.01011105,01011105,Nördlicher Landwehrkanal,Polygon,Nördlicher Landwehrkanal,Tiergarten Süd,Zentrum,Mitte,2006-06-14T00:00:00,8430.06160672841,2519593.45852198
6,re_planungsraum.01011201,01011201,Wilhelmstraße,Polygon,Wilhelmstraße,Regierungsviertel,Zentrum,Mitte,2006-06-14T00:00:00,5811.37049970993,1710450.6093557
7,re_planungsraum.01011202,01011202,Unter den Linden Nord,Polygon,Unter den Linden Nord,Regierungsviertel,Zentrum,Mitte,2006-06-14T00:00:00,7253.39116247369,2008788.15946991
8,re_planungsraum.01011203,01011203,Unter den Linden Süd,Polygon,Unter den Linden Süd,Regierungsviertel,Zentrum,Mitte,2006-06-14T00:00:00,6546.76069194777,1477709.84901664
9,re_planungsraum.01011204,01011204,Leipziger Straße,Polygon,Leipziger Straße,Regierungsviertel,Zentrum,Mitte,2006-06-14T00:00:00,7719.55666816253,2060311.36339255
10,re_planungsraum.01011301,01011301,Charitéviertel,Polygon,Charit¿viertel,Alexanderplatz,Zentrum,Mitte,2006-06-14T00:00:00,9995.18309907662,4548061.26626442
11,re_planungsraum.01011302,01011302,Oranienburger Straße,Polygon,Oranienburger Straße,Alexanderplatz,Zentrum,Mitte,2006-06-14T00:00:00,7303.48173587796,2732764.87167068
12,re_planungsraum.01011303,01011303,Alexanderplatzviertel,Polygon,Alexanderplatzviertel,Alexanderplatz,Zentrum,Mitte,2006-06-14T00:00:00,9796.94241676768,3672964.00959657
13,re_planungsraum.01011304,01011304,Karl-Marx-Allee,Polygon,Karl-Marx-Allee,Alexanderplatz,Zentrum,Mitte,2006-06-14T00:00:00,6603.9646543898,2178256.13302872
